year,t_primera_nat,t_dt_primera_nat,rain_primera_nat,wsi_primera_nat,spi_primera_nat,z_primera_nat,z_dt_primera_nat,t_postrera_nat,t_dt_postrera_nat,rain_postrera_nat,wsi_postrera_nat,spi_postrera_nat,z_postrera_nat,z_dt_postrera_nat,era5_nat,asi_nat,mvhi_nat,prod_anom,impact,impact_cerf,impact_emdat,impact_plus_undated,bad_year
2011,26.28542857142857,-0.47805531098861415,106.1059761904762,97.10438775510204,0.45746938775510204,-0.1646479591836735,-0.12211454251822276,25.035285714285717,-0.5834079591326857,106.56061904761906,96.18627142857143,1.6197285714285716,-0.1691357142857143,-0.13552685293312625,8.51599375,0.03,0.62,-2.9868405731084344,0,0,0,0,0
2012,26.43645238095238,-0.36364806771270936,93.11945238095238,98.93727551020409,-0.24462244897959184,0.609954081632653,0.6312207899653784,25.61834126984127,-0.03686064996981082,66.97101587301587,96.01051428571428,-0.4005714285714285,0.3540571428571429,0.3708615735334369,5.989048625000001,0.16,0.55,20.957564136607644,0,0,0,0,0
2013,26.72089285714286,-0.1158241577701377,98.87158333333333,98.38344897959185,0.1791734693877551,-0.22083163265306124,-0.22083163265306124,25.621079365079364,-0.07063080112439504,90.03138888888888,99.0458,0.49844285714285713,-0.02117857142857143,-0.02117857142857143,6.1818044,0.23,0.57,14.127052467545035,0,0,0,0,0
2014,27.293928571428573,0.4205949902676718,91.54690476190477,97.05564285714286,-0.18830612244897957,0.41728061224489793,0.3960139039121726,25.460634920634924,-0.267583491961518,92.58462698412698,97.15381428571428,0.7318142857142858,0.2024642857142857,0.1856598550379917,5.83244835,0.19,0.55,7.967778604117402,1,0,1,1,1
2015,28.073696428571427,1.163746281162622,54.79719047619047,92.14495918367346,-1.9900510204081634,-0.8898469387755102,-0.932380355440961,26.232507936507936,0.46778127751881804,103.42868253968254,91.91801428571429,0.4356,-0.8610571428571429,-0.894666004209731,4.076052125,9.62,0.47,-8.201901112038257,1,1,0,1,1
2016,27.35389880952381,0.4073320958670971,79.60044047619047,97.95517346938776,-0.5800510204081633,-0.25270918367346934,-0.31650930867164545,26.28386507936508,0.4826301739832812,61.47729365079365,97.60232857142856,-1.442885714285714,-0.037814285714285724,-0.0882275777431678,5.64186225,0.38,0.55,17.726934497558773,0,0,0,0,0
2017,26.680988095238096,-0.3021951846665224,96.95404761904761,98.13340816326532,0.08064285714285714,-0.19692857142857148,-0.2819954047594729,25.83161111111111,-0.006132040663366415,67.77369841269841,97.42475714285715,-0.6594714285714286,0.023621428571428574,-0.04359629413374755,8.204748875,0.15,0.62,11.577560195847568,0,0,0,0,0
2018,27.243630952380954,0.22383110622842903,76.021,96.76186734693877,-0.6657857142857143,0.42074489795918363,0.31441135629555683,26.08427777777778,0.2100263796106217,79.53758730158731,95.06155714285715,-0.15695714285714285,0.07759999999999999,-0.006422153381470163,5.2808510250000005,0.9,0.59,-13.79343749049838,1,1,1,1,1
2019,27.511857142857142,0.4554407304567142,76.34810714285713,98.41081632653061,-1.022469387755102,0.23475510204081632,0.10715485204446416,26.18031746031746,0.26955781575762366,80.14862698412698,98.22491428571428,-0.3090571428571428,0.41076428571428575,0.3099377016565215,6.1369620000000005,0.8,0.57,-2.710315485745474,0,0,0,0,0
2020,26.78452380952381,-0.3085091691245247,114.53198214285715,97.8184081632653,0.9781632653061224,-0.1408112244897959,-0.2896781828188734,25.60168253968254,-0.3455853512699762,105.1787380952381,98.92342857142856,0.9094285714285714,0.07880714285714285,-0.03882387187691535,9.269521325,0.83,0.58,-5.760790866143532,0,0,0,0,0
2021,27.11307738095238,-0.016572163943857632,94.53269642857143,98.79690816326531,-0.2414795918367347,0.603795918367347,0.433662251705544,26.254603174603176,0.2708270372579789,64.7501746031746,97.89867142857143,-0.3534428571428571,0.4741142857142857,0.3396788403039335,8.086217825,0.69,0.57,1.5158234168861637,0,0,0,0,0
2022,26.43932738095238,-0.7269387301917644,97.94399404761906,99.16042857142858,0.06776530612244898,0.5030561224489796,0.31165574745445135,25.827428571428573,-0.1928558123093033,79.87763492063492,98.84952857142856,0.09319999999999999,0.30665,0.1554101239133537,9.04124515,0.44,0.6,-6.981466658855785,0,0,0,0,0
2023,27.96747619047619,0.7645935130841404,75.4565238095238,97.28177551020407,-1.0899591836734694,-0.025821428571428575,-0.23848851189868217,26.914365079365076,0.857572449234525,89.71684126984128,98.41984285714285,0.2544142857142857,0.21955,0.0515056932370597,5.5864424,0.98,0.57,-8.108332322272261,0,0,0,0,0
2024,27.213535714285715,-0.02596352935424078,114.15111309523809,96.17507142857143,1.2260102040816325,-0.47462755102040816,-0.7085613426803871,26.116023809523806,0.022722933000575245,79.7272380952381,97.9188,-0.4629285714285714,-0.36426428571428576,-0.5491130231535201,10.094734625,0.82,0.6,-6.960332266452282,0,0,0,0,0
2025,27.602863095238096,0.32674728535023434,106.61663095238096,95.89759183673469,0.5633061224489796,0.4076377551020408,0.15243725510933648,26.26659523809524,0.13678611517932485,91.0012619047619,96.51498571428571,0.9005,0.3327142857142857,0.13106111759875733,5.7161683,0.44,0.57,,0,0,0,0,0
