iso3,unit,year,in_aoi,log_yield_w,log_prod_w,t_dt_w,z_dt_w,rain_w,wsi_w,spi_w,asi_w,mvhi_w
AFG,Badakhshan,2014,False,0.1585680903568819,1.2242834971139496,-0.8915133218973942,-1.4349995943254752,1.2765594194859688,0.8062027077791644,0.6976446730420963,-0.6068397953548189,0.7684630317857908
AFG,Badakhshan,2015,False,1.4173735572801727,0.9902917850115093,-0.8555685843689523,-0.32830269555276953,-0.37089933726616825,0.19604000628948423,0.36047266663295696,-0.5867228113602441,0.732227675304776
AFG,Badakhshan,2016,False,0.09737289625269817,0.463933310819468,1.3509362790780877,1.9697953058338813,0.6688453454255789,0.8178886836561374,0.21319679406672284,-0.43060869381170813,-0.0823841595464343
AFG,Badakhshan,2017,False,-0.3002417845717818,-2.722894568271078,-0.25167428457690466,-0.6263738187317158,-0.8176322363479239,0.20262843724258356,-0.22819335680351766,-0.04416140288482331,-0.5510508928997736
AFG,Badakhshan,2018,False,-0.38382740318268743,-0.22247702193983665,0.4822822979050881,0.4928373867154181,0.2834108085297031,0.746999263562247,-0.08978229428360568,-0.38893813638360286,0.45054905511284166
AFG,Badakhshan,2019,False,0.2179011973639472,-0.8758897507046797,0.05773480777327187,0.6990908130546396,0.4377298391426851,0.8981826792832991,0.6789940409337613,-0.44017176119022317,0.9332313508786346
AFG,Badakhshan,2020,False,0.8065963319681194,0.6462842681862919,-0.34590900013663123,0.41200680596287775,-0.011024850216419264,0.9365678142003633,-0.5981076457096403,-0.42580113495144384,0.8969959943976352
AFG,Badakhshan,2021,False,-0.8290150261714002,-0.4119477169881306,-0.570954680992755,-1.2514553992742252,0.8483275094711652,-0.022498886297927217,0.8507552871906761,0.44046702858481984,-0.6095060434493189
AFG,Badakhshan,2022,False,-0.21748408674637476,-0.08450120431383493,1.5887308240274534,1.1092141354845673,-0.7161449407598013,-1.3686407752822989,-1.1061520856950788,0.2824469221495708,-0.7322276753047863
AFG,Badakhshan,2023,False,-0.17606720909586354,-0.12035996292379562,0.6079742455351046,0.7292505085435318,-1.5652509094334033,-2.939098799898492,-1.196964758701514,0.9863804790844576,-1.2873806840326083
AFG,Badakhshan,2024,False,0.23625168176225989,0.07344523697442923,-1.5098937483263926,-1.0421475917605156,1.159644129140756,1.3052682358220091,1.249414699755247,-0.30654528412147736,0.3196231916012821
AFG,Badghis,2002,True,0.35961992255395175,0.3437725975892903,0.587950385377181,0.5401162762453751,0.5045594837561722,0.7672795537480268,0.17359771929549275,-0.36953598857871206,0.33062198015409544
AFG,Badghis,2003,True,0.5072283945114593,0.38035535973230467,-1.834257056966175,0.599400176794012,0.7898779787318612,0.5036726751341761,0.8372722034708766,-0.4015719144656776,1.270048844460405
AFG,Badghis,2004,True,-1.4951533055410449,-0.8693988550167893,0.3389194576011194,-0.27209221558048247,-0.8557755361830638,-0.6681447923016627,-1.091236752302241,0.308137208775351,-0.8322465086509301
AFG,Badghis,2005,True,0.6513307112639581,0.47843390854828827,-0.8515534562559552,-0.09345041828140234,-0.06679123820811877,-0.6778388549316279,-0.08402251916793231,-0.46564376623960874,0.3660503316058157
AFG,Badghis,2006,True,-0.45404188273688256,-0.012399861882199286,1.0361180897538815,-0.825400376687227,-1.1935777072191964,-0.817142740743043,-0.9335848668167116,1.1866582612552172,-1.2185050696046453
AFG,Badghis,2007,True,0.9669921702505545,0.6864477158753921,-0.13691030799778575,0.6177353955429884,0.5566896284398428,0.08626403869926047,0.7858565861515998,-0.21618084747061506,-0.21436071131073864
AFG,Badghis,2008,True,-1.6660225505344777,-0.9914334950762016,1.9852328706338083,-2.1455863885051074,-1.1351658477552329,-1.7477842790695886,-1.9217943973367622,2.6859516448417633,-2.251938570434453
AFG,Badghis,2009,True,1.1638258398872179,0.9363495231233012,-0.39623458378635573,1.1121392796436311,2.274383876880071,1.55030706883751,1.606752302695321,-0.5937874697874785,1.729210511289478
