iso3,record,start,end,season,basis
GTM,EM-DAT 2018-9277-GTM (1500000 affected),2018-06-01,2019-03-28,2018,last-season-before-impact
HND,CERF 2009 Rapid Response $1.6M,2009-05-01,2009-11-28,2009,overlap
HND,CERF 2014 Rapid Response $2.6M,2014-06-01,2014-08-28,2014,overlap
HND,CERF 2015 Rapid Response $2.2M,2015-05-01,2015-09-28,2015,overlap
HND,CERF 2019 Underfunded Emergencies $3.0M (undated),2019-01-01,,2018,undated: last-season-before-impact
HND,CERF 2020 Underfunded Emergencies $5.0M (undated),2020-01-01,,2019,undated: last-season-before-impact
HND,CERF 2026 Rapid Response $4.0M,2026-05-01,2026-08-28,2026,overlap
HND,EM-DAT 2000-9860-HND (1125 affected),2000-07-01,2000-12-28,2000,last-season-before-impact
HND,EM-DAT 2001-9383-HND (195000 affected),2001-07-01,2004-12-28,2001,last-season-before-impact
HND,EM-DAT 2002-9838-HND (220000 affected),2002-01-01,2002-12-28,2001,last-season-before-impact
HND,EM-DAT 2004-9363-HND (137500 affected),2004-07-01,2004-12-28,2004,last-season-before-impact
HND,EM-DAT 2009-9559-HND (45000 affected),2009-11-01,2011-02-28,2009,last-season-before-impact
HND,EM-DAT 2012-9379-HND (125000 affected),2012-09-01,2012-09-28,2012,last-season-before-impact
HND,EM-DAT 2014-9332-HND (2023000 affected),2014-04-01,2015-07-28,2013,last-season-before-impact
HND,EM-DAT 2018-9277-HND (360000 affected),2018-06-01,2019-03-28,2018,last-season-before-impact
HND,EM-DAT 2023-9167-HND (10300 affected),2023-01-01,2023-07-28,2022,last-season-before-impact
SLV,CERF 2015 Rapid Response $2.7M,2015-05-01,2015-09-28,2015,overlap
SLV,CERF 2019 Rapid Response $2.0M,2018-06-01,2018-08-28,2018,overlap
SLV,CERF 2026 Rapid Response $2.5M,2026-05-01,2026-08-28,2026,overlap
SLV,EM-DAT 2001-9383-SLV (400000 affected),2001-05-01,2001-12-28,2000,last-season-before-impact
SLV,EM-DAT 2009-9415-SLV (n/a affected),2009-01-01,2009-12-28,2008,last-season-before-impact
SLV,EM-DAT 2014-9580-SLV (700000 affected),2015-04-01,2016-12-28,2014,last-season-before-impact
SLV,EM-DAT 2018-9277-SLV (386610 affected),2018-06-01,2019-03-28,2018,last-season-before-impact
MRT,CERF 2008 Rapid Response $1.1M,2007-06-01,2007-10-28,2007,overlap
MRT,CERF 2009 Rapid Response $2.2M,2009-06-01,2009-09-28,2009,overlap
MRT,CERF 2010 Rapid Response $1.8M,2009-06-01,2009-09-28,2009,overlap
